address,type,free,reserved,staked,delegated,unclaimed,total,multiplier,final,participation
tgGEcv3bAxUUtLfSmnxYx2QNXMvLkQpFTHvjupLa2bzcyyzr8,substrate,577350656803401048241,0,0,0,0,577350656803401048241,1.00,577350656803401039872,-
tgGo5nEqm6yWpJMSPnvdKXnzoukUj2NdV7XxAU4fwEsaYzRQq,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgEYfTNyysio8aP6NHA7Kr24kEVaXejBzb55mCUHn2XnM4geB,substrate,34842999998632941930,0,34842999998632941930,0,0,34842999998632941930,1.00,34842999998632943616,N
tgEYJqUhmqLchun1j1jNhi1EBTqNXEbn6s2R6tLPvK5ZMwFg2,substrate,2322121127912809867236,0,2200000000000000000000,0,0,2322121127912809867236,1.00,2322121127912809955328,N
tgDHnFtvG6nR7DHHMCwTJCzrSDXD7FXFZmF1xtsr5yVLSJt1P,substrate,3072198654429068004116,0,0,0,0,3072198654429068004116,1.00,3072198654429068001280,-
tgGih2XMyRBSpA3iBQ72fD4QYfaKqqEDyps4H8oXVCj2zvZAc,substrate,2447499335115473389151,0,995000000000000000000,0,0,2447499335115473389151,1.00,2447499335115473420288,N
tgCjHXaSgPQgYcLmCwqxFHorZ4MLWFJ3mp6gxJew25WnELUri,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgGvD1y27NbLDCaoWNSEJF9N22E8TYwUJxLMpFPXNYAwpmADe,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgHDXjNCK6UEoRoXAY2LZVwS94swXB1SjsGm8SsXAcKrdySrv,substrate,1062535910398590875929,0,1062535910398590875929,0,0,1062535910398590875929,1.00,1062535910398590844928,N
tgDWnKXbpKDuwAXtwC7PeiU8bBDem5NdeRjaz41k2ohgLCgD6,substrate,2241147071856171142781,0,0,0,0,2241147071856171142781,1.00,2241147071856171024384,-
tgG6isyYY6E1DaGzHgRrrXZSxUfqpxuvdo4gcGEUarH6fUd7g,substrate,5424545876223359511583,0,5418000000000000000000,0,0,5424545876223359511583,1.00,5424545876223359713280,N
tgEstHaap3rb6Mw1GpshYp8wi6tAv9EvCc6bLdfPafbVgh5hR,substrate,1004016064257028112449,0,0,0,0,1004016064257028112449,1.00,1004016064257028128768,-
tgGYY3etUSJnzViwmrV1GWqTQkiR4WnEREeLnTpwUU9PH1oP2,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgCFxYi5mBLenkqd6i5MyRzAbGdfGtEUUCMXrZkkeucjH2T69,substrate,1500843783403411527498,0,1500712924544730437107,0,0,1500843783403411527498,1.00,1500843783403411603456,N
tgH5nLKLa678ZqaotydRrVQ88eGia48e5FZLFPYqZeJ5K6ZR5,substrate,2987901866180834705914,0,0,0,0,2987901866180834705914,1.00,2987901866180834492416,-
tgEn9F1kYJXfiXA15tB766YwQiRNJW5nKntDcCv69dXwFjS59,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgDRCYcDTiepEaqgoEdAtCPVcSoxGb549bCsMJ2LNFVh3xV2X,substrate,132705400000894316907,20000000000000000000,100000000000000000000,100000000000000000000,0,152705400000894316907,1.00,152705400000894304256,V+O+D
tgCRdDJUQtq1rLz6Csmk5Frv3ZYB3DvdX64TBhtNEDnRCioFR,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgEBrSGiwBXW8ZN9giH8zB6KuRivafHdxzqwMtBLrGXfXTdQQ,substrate,2333829404485118748135,0,0,0,0,2333829404485118748135,1.00,2333829404485118853120,-
tgC1wjMCcamX7HXbFDPrUWiretHzHCweFA8C93guv29Ub8wPa,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgFYKfZFAomxNGmdeBRH7o1xs9qyzgME2xwuY6tpXa1N9oT9L,substrate,1433045400219966069439,0,0,0,0,1433045400219966069439,1.00,1433045400219965980672,-
